number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_max_steps,state
0,0.7588437779661639,2026-06-24 10:01:14.644486,2026-06-24 10:08:40.465279,0 days 00:07:25.820793,16,2.05133826308745e-06,601,COMPLETE
1,0.7763127371786087,2026-06-24 10:08:40.466335,2026-06-24 10:32:24.234680,0 days 00:23:43.768345,16,1.0994335574766194e-06,2433,COMPLETE
2,0.8274351663535819,2026-06-24 10:32:24.237731,2026-06-24 10:39:42.512706,0 days 00:07:18.274975,8,4.0596116104843085e-06,1431,COMPLETE
3,0.8231906167042871,2026-06-24 10:39:42.514962,2026-06-24 11:01:54.152790,0 days 00:22:11.637828,32,3.839629299804171e-06,1074,COMPLETE
4,0.8248975304585123,2026-06-24 11:01:54.153596,2026-06-24 11:06:17.064105,0 days 00:04:22.910509,16,1.5304852121831454e-05,354,COMPLETE
5,0.8816691574894348,2026-06-24 11:06:17.066807,2026-06-24 12:31:36.785913,0 days 01:25:19.719106,64,8.536189862866841e-05,2069,COMPLETE
6,0.7931733223310427,2026-06-24 12:31:36.786735,2026-06-24 12:59:33.250475,0 days 00:27:56.463740,32,1.7541893487450809e-06,1364,COMPLETE
7,0.8389884986768426,2026-06-24 12:59:33.251544,2026-06-24 13:13:48.858728,0 days 00:14:15.607184,16,4.201672054372532e-06,1420,COMPLETE
8,0.8981787691706182,2026-06-24 13:13:48.859313,2026-06-24 13:59:27.296097,0 days 00:45:38.436784,32,7.568292060167621e-05,2264,COMPLETE
9,0.7532598700204844,2026-06-24 13:59:27.298947,2026-06-24 14:09:27.065406,0 days 00:09:59.766459,16,1.2315571723666031e-06,982,COMPLETE
10,0.8963921484052702,2026-06-24 14:09:27.067798,2026-06-24 14:50:08.266581,0 days 00:40:41.198783,32,6.381595103140384e-05,2049,COMPLETE
11,0.901274240671681,2026-06-24 14:50:08.268136,2026-06-24 15:30:21.466963,0 days 00:40:13.198827,32,9.535743577592899e-05,2029,COMPLETE
12,0.8781086837170579,2026-06-24 15:30:21.467630,2026-06-24 16:10:20.944922,0 days 00:39:59.477292,32,3.6101900199882964e-05,2013,COMPLETE
13,0.8804079854950096,2026-06-24 16:10:20.945485,2026-06-24 16:57:24.964658,0 days 00:47:04.019173,32,3.1629171339107234e-05,2379,COMPLETE
14,0.8898537260082964,2026-06-24 16:57:24.965325,2026-06-24 17:06:03.240511,0 days 00:08:38.275186,8,9.764754387729075e-05,1773,COMPLETE
